Fighter,Date,Opp,Weight_Class,Total_KD,Total_STR,Total_TD,Total_SUB,Opp_KD,Opp_STR,Opp_TD,Opp_SUB,Round,Time,Target,Avg_Round_Time,Avg_Round,Opp_Avg_Round_Time,Opp_Avg_Round,Fighter_code,Opp_code,Weight_Class_code
AJ Dobson,2022-02-12,Jacob Malkoun,Middleweight,0,0,0,0,0,27,8,2,3.0,300.0,0,0.0,0.0,0.0,0.0,0,949,7
AJ Dobson,2022-10-22,Armen Petrosyan,Middleweight,0,52,0,0,0,158,0,0,3.0,300.0,0,600.0,6.0,0.0,0.0,0,182,7
AJ Dobson,2023-08-12,Tafon Nchukwi,Middleweight,0,110,3,0,1,340,4,0,3.0,300.0,1,600.0,6.0,0.0,0.0,0,2167,7
AJ Fletcher,2022-03-12,Matthew Semelsberger,Welterweight,0,0,0,0,3,188,2,1,3.0,300.0,0,0.0,0.0,0.0,0.0,1,1585,10
AJ Fletcher,2022-08-20,Ange Loosa,Welterweight,0,34,4,2,0,88,0,0,3.0,300.0,0,600.0,6.0,0.0,0.0,1,139,10
AJ Fletcher,2023-02-18,Themba Gorimbo,Welterweight,0,121,4,2,0,0,0,0,2.0,97.0,1,600.0,6.0,0.0,0.0,1,2199,10
AJ Fletcher,2023-09-23,Bryan Battle,Welterweight,0,128,4,3,2,171,2,1,2.0,272.0,0,432.3333333333333,4.666666666666667,0.0,0.0,1,312,10
Aalon Cruz,2020-02-29,Spike Carlyle,Featherweight,0,0,0,0,0,0,0,0,1.0,85.0,0,0.0,0.0,0.0,0.0,2,2124,2
Aalon Cruz,2021-03-06,Uros Medic,Lightweight,0,2,0,0,0,0,0,0,1.0,100.0,0,170.0,2.0,0.0,0.0,2,2287,6
Aaron Brink,2000-11-17,Andrei Arlovski,Heavyweight,0,0,0,0,0,0,0,0,1.0,55.0,0,0.0,0.0,0.0,0.0,3,130,4
Aaron Phillips,2014-05-24,Sam Sicilia,Featherweight,0,0,0,0,0,123,3,1,3.0,300.0,0,0.0,0.0,0.0,0.0,4,2033,2
Aaron Phillips,2014-08-23,Matt Hobar,Bantamweight,0,18,0,1,0,7,0,0,3.0,300.0,0,600.0,6.0,0.0,0.0,4,1571,0
Aaron Phillips,2020-07-15,Jack Shore,Bantamweight,0,56,0,1,0,46,4,1,2.0,149.0,0,600.0,6.0,0.0,0.0,4,947,0
Aaron Phillips,2023-04-15,Gaston Bolanos,Bantamweight,0,62,0,1,0,0,0,0,3.0,300.0,0,499.3333333333333,5.333333333333333,0.0,0.0,4,805,0
Aaron Riley,2002-05-10,Robbie Lawler,Welterweight,0,0,0,0,0,0,0,0,3.0,300.0,0,0.0,0.0,0.0,0.0,5,1932,10
Aaron Riley,2006-01-16,Spencer Fisher,Welterweight,0,55,0,1,0,13,1,3,1.0,300.0,0,600.0,6.0,0.0,0.0,5,2123,10
