Fighter,Date,Opp,Weight_Class,Total_KD,Total_STR,Total_TD,Total_SUB,Opp_KD,Opp_STR,Opp_TD,Opp_SUB,Round,Time,Target,Avg_Round_Time,Avg_Round
Orlando Wiet,1994-03-11,Sean Daugherty,Open Weight,0,0,0,0,0,0,0,0,1.0,20.0,0,0.0,0.0
Royce Gracie,1994-03-11,Patrick Smith,Open Weight,0,0,0,0,0,0,0,0,1.0,77.0,0,0.0,0.0
Harold Howard,1994-03-11,Remco Pardoel,Open Weight,0,0,0,0,0,0,0,0,1.0,91.0,0,0.0,0.0
Ken Shamrock,1994-03-11,Johnny Rhodes,Open Weight,0,0,0,0,0,0,0,0,1.0,67.0,0,0.0,0.0
Keith Hackney,1994-03-11,Jason DeLucia,Open Weight,0,0,0,0,0,0,0,0,1.0,67.0,0,0.0,0.0
Remco Pardoel,1994-03-11,Ray Wizard,Open Weight,0,0,0,0,0,0,0,0,1.0,58.0,0,0.0,0.0
Johnny Rhodes,1994-03-11,Alberta Cerra Leon,Open Weight,0,4,0,0,0,0,0,0,1.0,591.0,0,0.0,0.0
Patrick Smith,1994-03-11,Robert Lucarelli,Open Weight,0,1,0,0,0,0,0,0,1.0,170.0,0,0.0,0.0
Jason DeLucia,1994-03-11,David Levicki,Open Weight,0,0,1,0,0,0,0,0,1.0,733.0,0,0.0,0.0
Ken Shamrock,1994-09-09,Emmanuel Yarborough,Open Weight,0,5,0,1,0,0,0,0,1.0,119.0,1,134.0,2.0
Steve Jennum,1994-09-09,Christophe Leninger,Open Weight,0,0,0,0,0,0,0,0,1.0,289.0,0,0.0,0.0
Guy Mezger,1994-09-09,Roland Payne,Open Weight,0,0,0,0,0,0,0,0,1.0,46.0,0,0.0,0.0
Royce Gracie,1994-09-09,Kimo Leopoldo,Open Weight,1,28,4,6,0,0,0,0,1.0,280.0,0,154.0,2.0
Keith Hackney,1994-09-09,Felix Lee Mitchell,Open Weight,0,0,0,1,0,0,0,0,1.0,274.0,0,134.0,2.0
Todd Medina,1994-12-16,Dan Severn,Open Weight,0,0,0,0,0,0,0,0,1.0,949.0,0,0.0,0.0
Jon Hess,1994-12-16,Marcus Bossett,Open Weight,0,0,0,0,0,0,0,0,1.0,52.0,0,0.0,0.0
Guy Mezger,1994-12-16,Keith Hackney,Open Weight,1,9,0,0,0,4,1,2,1.0,332.0,0,92.0,2.0
Dan Severn,1994-12-16,Jason Fairn,Open Weight,0,4,1,0,0,0,0,0,1.0,133.0,0,0.0,0.0
